Date,Produit,Carrefour_Station_ID,Carrefour_Station_Name,Inférieur,Égal,Supérieur
2024-03-15,Gazole,4700003,"353    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,4700006,"355    Carrefour
Name: Enseignes, dtype: object",0,1,1
2024-03-15,Gazole,5100004,"365    Carrefour
Name: Enseignes, dtype: object",0,1,2
2024-03-15,Gazole,5120002,"368    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,5400004,"397    Carrefour
Name: Enseignes, dtype: object",0,1,0
2024-03-15,Gazole,5500002,"399    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,5600006,"403    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,6140005,"430    Carrefour
Name: Enseignes, dtype: object",12,10,0
2024-03-15,Gazole,6156001,"437    Carrefour
Name: Enseignes, dtype: object",14,1,17
2024-03-15,Gazole,6201001,"449    Carrefour
Name: Enseignes, dtype: object",4,0,35
2024-03-15,Gazole,6250001,"461    Carrefour
Name: Enseignes, dtype: object",2,1,37
2024-03-15,Gazole,6260002,"467    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,6530007,"512    Carrefour
Name: Enseignes, dtype: object",0,1,11
2024-03-15,Gazole,6560001,"517    Carrefour
Name: Enseignes, dtype: object",4,0,37
2024-03-15,Gazole,6600001,"520    Carrefour
Name: Enseignes, dtype: object",13,0,29
2024-03-15,Gazole,6610005,"535    Carrefour
Name: Enseignes, dtype: object",16,17,0
2024-03-15,Gazole,7110004,"568    Carrefour
Name: Enseignes, dtype: object",1,1,2
2024-03-15,Gazole,7140001,"576    Carrefour
Name: Enseignes, dtype: object",0,1,0
2024-03-15,Gazole,7190001,"585    Carrefour
Name: Enseignes, dtype: object",1,1,0
2024-03-15,Gazole,7200010,"593    Carrefour
Name: Enseignes, dtype: object",1,2,7
2024-03-15,Gazole,7220003,"600    Carrefour
Name: Enseignes, dtype: object",4,0,2
2024-03-15,Gazole,7260001,"605    Carrefour
Name: Enseignes, dtype: object",2,0,2
